Plan;"Asignatura id";Asignatura;Nivel
GH1;GH154;"ENCANTAMIENTOS  I";2
HP1;HP154;"ENCANTAMIENTOS  I";2
HP1;HP154;"ENCANTAMIENTOS  I";2
HP1;HP154;"ENCANTAMIENTOS  I";2
HP1;HP154;"ENCANTAMIENTOS  I";2
HW1;HW154;"ENCANTAMIENTOS  I";2
GH1;GH155;"ENCANTAMIENTOS  II";3
HP1;HP155;"ENCANTAMIENTOS  II";3
HP1;HP155;"ENCANTAMIENTOS  II";3
HP1;HP155;"ENCANTAMIENTOS  II";3
HP1;HP155;"ENCANTAMIENTOS  II";3
HP1;HP155;"ENCANTAMIENTOS  II";3
HW1;HW155;"ENCANTAMIENTOS  II";3
GH1;GH156;"ENCANTAMIENTOS  III";4
HP1;HP156;"ENCANTAMIENTOS  III";4
HP1;HP156;"ENCANTAMIENTOS  III";4
HP1;HP156;"ENCANTAMIENTOS  III";4
HP1;HP156;"ENCANTAMIENTOS  III";4
HP1;HP156;"ENCANTAMIENTOS  III";4
HW1;HW156;"ENCANTAMIENTOS  III";4
GH1;GH157;"ENCANTAMIENTOS  IV";5
HP1;HP157;"ENCANTAMIENTOS  IV";5
HP1;HP157;"ENCANTAMIENTOS  IV";5
HP1;HP157;"ENCANTAMIENTOS  IV";5
HP1;HP157;"ENCANTAMIENTOS  IV";5
HP1;HP157;"ENCANTAMIENTOS  IV";5
HP1;HP157;"ENCANTAMIENTOS  IV";5
HW1;HW157;"ENCANTAMIENTOS  IV";1
HW1;HW157;"ENCANTAMIENTOS  IV";5
HW1;HW157;"ENCANTAMIENTOS  IV";5
HP1;HP164;"TEORIA MAGICA  I (INTRODUCCION A LA MAGIA)";1
HP1;HP164;"TEORIA MAGICA  I (INTRODUCCION A LA MAGIA)";1
HP1;HP164;"TEORIA MAGICA  I (INTRODUCCION A LA MAGIA)";1
HP1;HP164;"TEORIA MAGICA  I (INTRODUCCION A LA MAGIA)";1
HP1;HP164;"TEORIA MAGICA  I (INTRODUCCION A LA MAGIA)";1
HP1;HP164;"TEORIA MAGICA  I (INTRODUCCION A LA MAGIA)";1
HW1;HW164;"TEORIA MAGICA  I (INTRODUCCION A LA MAGIA)";1
HW1;HW164;"TEORIA MAGICA  I (INTRODUCCION A LA MAGIA)";1
HW1;HW164;"TEORIA MAGICA  I (INTRODUCCION A LA MAGIA)";1
GH1;GH170;"ADIVINACION  I";3
HP1;HP170;"ADIVINACION  I";2
HP1;HP170;"ADIVINACION  I";2
HP1;HP170;"ADIVINACION  I";2
HP1;HP170;"ADIVINACION  I";3
HP1;HP170;"ADIVINACION  I";3
HP1;HP170;"ADIVINACION  I";3
HW1;HW170;"ADIVINACION  I";3
GH1;GH171;"ADIVINACION  II";4
HP1;HP171;"ADIVINACION  II";3
HP1;HP171;"ADIVINACION  II";4
HP1;HP171;"ADIVINACION  II";4
HP1;HP171;"ADIVINACION  II";4
HP1;HP171;"ADIVINACION  II";4
HW1;HW171;"ADIVINACION  II";4
GH1;GH173;"ESTUDIOS DE DEMONIOS NECROFAGOS  I";2
HP1;HP173;"ESTUDIOS DE DEMONIOS NECROFAGOS  I";2
HP1;HP173;"ESTUDIOS DE DEMONIOS NECROFAGOS  I";2
HP1;HP173;"ESTUDIOS DE DEMONIOS NECROFAGOS  I";2
HP1;HP173;"ESTUDIOS DE DEMONIOS NECROFAGOS  I";2
HW1;HW173;"ESTUDIOS DE DEMONIOS NECROFAGOS  I";2
GH1;GH174;"ESTUDIOS DE DEMONIOS NECROFAGOS  II";3
HP1;HP174;"ESTUDIOS DE DEMONIOS NECROFAGOS  II";3
HP1;HP174;"ESTUDIOS DE DEMONIOS NECROFAGOS  II";3
HP1;HP174;"ESTUDIOS DE DEMONIOS NECROFAGOS  II";3
HP1;HP174;"ESTUDIOS DE DEMONIOS NECROFAGOS  II";3
HP1;HP174;"ESTUDIOS DE DEMONIOS NECROFAGOS  II";3
HW1;HW174;"ESTUDIOS DE DEMONIOS NECROFAGOS  II";3
GH1;GH175;"ESTUDIOS DE DEMONIOS NECROFAGOS  III";4
HP1;HP175;"ESTUDIOS DE DEMONIOS NECROFAGOS  III";4
HP1;HP175;"ESTUDIOS DE DEMONIOS NECROFAGOS  III";4
HP1;HP175;"ESTUDIOS DE DEMONIOS NECROFAGOS  III";4
HP1;HP175;"ESTUDIOS DE DEMONIOS NECROFAGOS  III";4
HP1;HP175;"ESTUDIOS DE DEMONIOS NECROFAGOS  III";4
HW1;HW175;"ESTUDIOS DE DEMONIOS NECROFAGOS  III";4
GH1;GH176;"ESTUDIOS DE DEMONIOS NECROFAGOS  IV";5
HP1;HP176;"ESTUDIOS DE DEMONIOS NECROFAGOS  IV";5
HP1;HP176;"ESTUDIOS DE DEMONIOS NECROFAGOS  IV";5
HP1;HP176;"ESTUDIOS DE DEMONIOS NECROFAGOS  IV";5
HW1;HW176;"ESTUDIOS DE DEMONIOS NECROFAGOS  IV";5
HW1;HW176;"ESTUDIOS DE DEMONIOS NECROFAGOS  IV";5
HW1;HW176;"ESTUDIOS DE DEMONIOS NECROFAGOS  IV";5
GH1;GH186;"TECNICAS DE ESTUDIO  de la magia";1
HP1;HP11095;"LABORATORIO DE MAGIA BLANCA";
HW1;HW11095;"LABORATORIO DE MAGIA BLANCA";
GH1;GH11635;" ÉXTASIS (Exámenes Terribles de Alta Sabiduría e Invocaciones Secretas)";
HP1;HP11635;" ÉXTASIS (Exámenes Terribles de Alta Sabiduría e Invocaciones Secretas)";
HW1;HW11635;" ÉXTASIS (Exámenes Terribles de Alta Sabiduría e Invocaciones Secretas)";
HW1;HW11635;" ÉXTASIS (Exámenes Terribles de Alta Sabiduría e Invocaciones Secretas)";
HP1;HP11703;ARTE;
HW1;HW11703;ARTE;
HP1;HP11704;"CUIDADO DE CRIATURAS MÁGICAS";
HW1;HW11704;"CUIDADO DE CRIATURAS MÁGICAS";
GH1;GH11995;"POCION DEL OLVIDO";
HP1;HP11995;"POCION DEL OLVIDO";
HW1;HW11995;"POCION DEL OLVIDO";
HW1;HW11995;"POCION DEL OLVIDO";
GH1;GH12240;"PÁRSEL CG. BASICO I";
HP1;HP12240;"PÁRSEL CG. BASICO I";
HW1;HW12240;"PÁRSEL CG. BASICO I";
WH1;WH13143;"TIMOS Título Indispensable de Magia Ordinaria";
WH1;WH13143;"TIMOS Título Indispensable de Magia Ordinaria";
WH1;WH13143;"TIMOS Título Indispensable de Magia Ordinaria";
WH1;WH13168;"EVALUACION  MAGICA";3
GH1;GH13457;"ENCANTAMIENTOS  I";2
GH2;GH23457;"ENCANTAMIENTOS  I";2
GH2;GH23457;"ENCANTAMIENTOS  I";2
GH3;GH33457;"ENCANTAMIENTOS  I";2
GH3;GH33457;"ENCANTAMIENTOS  I";2
HP1;HP13457;"ENCANTAMIENTOS  I";2
HP2;HP23457;"ENCANTAMIENTOS  I";2
HP2;HP23457;"ENCANTAMIENTOS  I";2
PH1;PH13457;"ENCANTAMIENTOS  I";2
PH1;PH13457;"ENCANTAMIENTOS  I";2
PH2;PH23457;"ENCANTAMIENTOS  I";2
PH2;PH23457;"ENCANTAMIENTOS  I";2
HW1;HW13457;"ENCANTAMIENTOS  I";2
HW2;HW23457;"ENCANTAMIENTOS  I";2
HW2;HW23457;"ENCANTAMIENTOS  I";2
GH1;GH13458;"ESTUDIOS DE DEMONIOS NECROFAGOS  I";2
GH2;GH23458;"ESTUDIOS DE DEMONIOS NECROFAGOS  I";2
GH2;GH23458;"ESTUDIOS DE DEMONIOS NECROFAGOS  I";2
GH3;GH33458;"ESTUDIOS DE DEMONIOS NECROFAGOS  I";2
GH3;GH33458;"ESTUDIOS DE DEMONIOS NECROFAGOS  I";2
HP1;HP13458;"ESTUDIOS DE DEMONIOS NECROFAGOS  I";2
HP2;HP23458;"ESTUDIOS DE DEMONIOS NECROFAGOS  I";2
HP2;HP23458;"ESTUDIOS DE DEMONIOS NECROFAGOS  I";2
