Plan,Asignatura id,Asignatura,Nivel,Prerequisitos,Prerequisitos
HP2,HP21635,��XTASIS (Ex�menes Terribles de Alta Sabidur�a e Invocaciones Secretas),10,egreso,
HP2,HP21635,��XTASIS (Ex�menes Terribles de Alta Sabidur�a e Invocaciones Secretas),10,egreso,
HP2,HP23450,TEORIA MAGICA I,1,Ingreso,
HP2,HP23450,TEORIA MAGICA I,1,Ingreso,
HP2,HP23451,RUNAS ANTIGUAS,1,Ingreso,
HP2,HP23451,RUNAS ANTIGUAS,1,Ingreso,
HP2,HP23453,HISTORIA DEL MAGIA,1,Ingreso,
HP2,HP23453,HISTORIA DEL MAGIA,1,Ingreso,
HP2,HP23455,TEORIA DE LA MAGIA,1,Ingreso,
HP2,HP23455,TEORIA DE LA MAGIA,1,Ingreso,
HP2,HP23456,MAGIA POLITICA,2,Ingreso,
HP2,HP23456,MAGIA POLITICA,2,Ingreso,
HP2,HP23457,ENCANTAMIENTOS  I,2,4440,
HP2,HP23457,ENCANTAMIENTOS  I,2,4440,
HP2,HP23458,ESTUDIOS DE DEMONIOS NECROFAGOS  I,2,ingreso,
HP2,HP23458,ESTUDIOS DE DEMONIOS NECROFAGOS  I,2,ingreso,
HP2,HP23459,TEORIA MAGICA II,2,3450,
HP2,HP23459,TEORIA MAGICA II,2,3450,
HP2,HP23461,ESTUDIOS MUGGLE,3,3456,
HP2,HP23461,ESTUDIOS MUGGLE,3,3456,
HP2,HP23462,ENCANTAMIENTOS  II,3,3457,
HP2,HP23462,ENCANTAMIENTOS  II,3,3457,
HP2,HP23463,ESTUDIOS DE DEMONIOS NECROFAGOS  II,3,3458,
HP2,HP23463,ESTUDIOS DE DEMONIOS NECROFAGOS  II,3,3458,
HP2,HP23464,MAGIA INTERNACIONAL PRIVADA,3,ingreso,
HP2,HP23464,MAGIA INTERNACIONAL PRIVADA,3,ingreso,
HP2,HP23467,POCIONES I,4,3461,
HP2,HP23467,POCIONES I,4,3461,
HP2,HP23468,ENCANTAMIENTOS  III,4,3462,
